Film,Year,Body_Count,MPAA_Rating,Genre,Director,Actors,Length_Minutes,IMDB_Rating
Appaloosa,2008,10,R,Crime|Drama|Western,Ed Harris,Robert Jauregui|Jeremy Irons|Timothy V. Murphy|Luce Rains|James Tarwater|Boyd Kestner|Gabriel Marantz|Ed Harris|Viggo Mortensen|Benjamin Rosenshein|Cerris Morgan-Moyer|James Gammon|Timothy Spall|Tom Bower|Erik J. Bockemeier|Freddie Hice|Neil Summers|Tim Carroll|Renée Zellweger|Bounthanh Xaynhachack|Ariadna Gil|Art Usher|Clark Sanchez|Cliff Gravel|Mike Watson|Rex Linn|Corby Griesenbeck|Lance Henriksen|Adam Nelson|Bob L. Harris|Daniel Parker|Ed Pennybacker|Alvin William 'Dutch' Lunak|Martin Connelly|Danny Edmo|Argos MacCallum|Cynthia Huerta|Charlene Adams|Ernest Andreas|Heather Antonio|David Bard|Ian Bell|Daniel Jon Bergman|Maria Bethke|Todd Bethke|Miles Blackman|Scott Brooks|Martin Callahan|Mabel Jin Chin|Stephen Chomko|Cynthia Clark|Leonaldan Condati|Robert Colby|Lowell Crawford|Jake Crellin|Charles Culberson|Timothy David|Rachel de la Torre|Robert Dow|Flynn-Bella Ericson|Chuck Ferran|Jackie Fleming|Dennis Foulkrod|Christopher Frechette|Jim Granger|Ruben Haddix|Bruce Harders|Nancy Ann Hibbs|Jerrall Hinds|Perry Jasper|Nick Johnson|Taryn Johnson|Dale Kappy|Glen Kappy|Jeff Kimerling|Kim Kimerling|Kevin Kinsner|Daniel Krieger|Xander Laird|Norm Lee|Kerry Lee|Michael A. Lente|Loretta Lewis|Isabel Leustig|Jennae Linnell|Skip Long|Denise Lynch|Lynn Macri|Tom McFarlane|Diana McGuerty|Henry McKeighen|Dani McNutt|Diana Minfa|Kim Montoya|Sylvie Mortenson|Ernest Moya|Kevin New|Sandy Nickal|Michael Max Norris|Frank Nun|Kyle Osborne|Trevor Osborne|Dara Osborne|Hunter Lee Pimparapana|Michael Neal Powell|Kristine Rael|Marvin Rath|L.C. Read|Steve Rick|Benjamin Rosensheim|Daphne D. Ross|Tom E. Rostkowski|Randall Sauls|Darrell Schmidt|Yvonne Schmidt|Claire Schwebke|Cicely Kuehl Shank|Carol Sieber|J. Nathan Simmons|Frankley Singzilay|Edward Sipler|Chloe Slator|Isabel Slator|Fionn Thelen|John Turner|Elizabeth Ann Tuttle|Arthur Usher|Bailey Walter|Kristin Walter|Madeline Walter|Alicia Williams|J.C. Augare|Kiela Bird|Anderson Chee|Bud Connley|Alexandra Edmo|Matthew E. Montoya|Wes Trudell|Michael Clark|Herman Endito|Jerry Fuentes|Jerry Handy|Larry Hinsley|Adam Honeyfield|David Lee Jensen|Tom Johnson|Tom Larsen|Les Schesser|Frank Spencer|Greg Stevenson|Girard Swan|Mark A. Hernandez|Erika O'Bar|Josh Renfree|Aidan Vitela,115,6.8
Armageddon,1998,16,PG-13,Action|Adventure|Sci-Fi|Thriller,Michael Bay,Bruce Willis|Billy Bob Thornton|Ben Affleck|Liv Tyler|Will Patton|Steve Buscemi|William Fichtner|Owen Wilson|Michael Clarke Duncan|Peter Stormare|Ken Hudson Campbell|Jessica Steen|Keith David|Chris Ellis|Jason Isaacs|Grayson McCouch|Clark Heathcliffe Brolly|Marshall R. Teague|Anthony Guidera|Greg Collins|J. Patrick McCormack|Ian Quinn|Christopher J. Worret|Adam Smith|John Mahon|Grace Zabriskie|K.C. Leomiti|Eddie Griffin|Deborah Nishimura|Albert Wong|Jim Ishida|Stanley Anderson|James Harper|Ellen Cleghorne|Udo Kier|John Aylward|Mark Curry|Seiko Matsuda|Harry Humphries|Dyllan Christopher|Judith Hoag|Sage Allen|Steven Ford|Christian Clemenson|Andy Ryan|Duke Valenti|Michael Taliferro|Billy Devlin|Kathleen Matthews|J.C. Hayward|Andrew Glassman|Shawnee Smith|Dwight Hicks|Odile Corso|Vic Manni|Jim Maniaci|Layla Roberts|Joe Allen|Bodhi Elfman|Alexander Johnson|Kathy Neff|Victor Vinson|Joseph Patrick Kelly|Peter White|Rudy Mettia|Frank Van Keeken|Frederick Weller|Jeff Austin|Googy Gress|Matt Malloy|H. Richard Greene|Brian Brophy|Peter Murnik|Brian Hayes Currie|Andrew Heckler|Andy Milder|Michael Kaplan|Patrick Richwood|Brian Mulligan|John H. Johnson|Charles Stewart|Scarlet Forge|Michael Tuck|Patrick Lander|Anne Varèze|Fritz Mashimo|Dina Morrone|Ruben Olague|Wolfgang Muser|Jim Fitzpatrick|Franky|Charlton Heston|Jonathan Aldridge|Michael Bay|Judi Beecher|Mark Boone Junior|Le Ann Cheri'|Judith Drake|Mark J. Ferreri|Ronald Fox|John Frazier|Andy Gill|Will Green|Jeff Linnartz|Shannon Lucid|Kevin McGuire|Aaron J. Patton|Pope John Paul II|Gary A. Rogers|Mary Ann Schmidt|Frank Silva|William T. Smith|Erik Per Sullivan|Rando Thomas|Lawrence Tierney|Gedde Watanabe,151,6.6
Army of Darkness,1992,107,R,Comedy|Fantasy|Horror,Sam Raimi,Bruce Campbell|Embeth Davidtz|Marcus Gilbert|Ian Abercrombie|Richard Grove|Timothy Patrick Quill|Michael Earl Reid|Bridget Fonda|Patricia Tallman|Ted Raimi|Deke Anderson|Bruce Thomas|Sara Shearer|Shiva Gordon|Billy Bryan|Nadine Grycan|Bill Moseley|Micheal Kenney|Andy Bale|Robert Brent Lappin|Rad Milo|Brad Bradbury|Sol Abrams|Lorraine Axeman|Josh Becker|Sheri Burke|Don Campbell|Charlie Campbell|Harley Cokeliss|Ken Jepson|William Lustig|David O'Malley|David Pollison|Ivan Raimi|Bernard Rose|Bill Vincent|Chris Webster|Ron Zwang|J Michael Briggs|Eric Clarke|Angela Featherstone|Patricia Anne Isgate|Kevin O'Hara|Courtney Pakiz|Sam Raimi|Monique Yates Jr.,81,7.6
Assault on Precinct 13,1976,39,,Action|Crime|Thriller,John Carpenter,Austin Stoker|Darwin Joston|Laurie Zimmer|Martin West|Tony Burton|Charles Cyphers|Nancy Kyes|Peter Bruni|John J. Fox|Marc Ross|Alan Koss|Henry Brandon|Kim Richards|Frank Doubleday|Gilbert De la Pena|Peter Frankland|Al Nakauchi|James Johnson|Gilman Rankin|Cliff Battuello|Horace Johnson|Valentine Villareal|Kenny Miyamoto|Jerry Viramontes|Len Whitaker|Kris Young|Randy Moore|Warren Bradley III|Joe Woo Jr.|Bill Taylor|Brent Keast|Maynard Smith|John Carpenter|James Jeter,91,7.4
Assault on Precinct 13,2005,21,R,Action|Drama|Crime|Thriller,Jean-François Richet,Ethan Hawke|Laurence Fishburne|Gabriel Byrne|Maria Bello|Drea de Matteo|John Leguizamo|Brian Dennehy|Ja Rule|Currie Graham|Aisha Hinds|Matt Craven|Fulvio Cecere|Peter Bryant|Kim Coates|Hugh Dillon|Tig Fong|Jasmin Geljo|Jessica Greco|Dorian Harewood|Philip Marshall|Arnold Pinnock|Edward A. Queffelec|Robert Hayley|Courtney Cunningham|Leford Lawes|Roman Podhora|Gilson Lubin|Brian King|Laurent Richet|J.C. Kenny|Sasha Roiz|Ray Kahnert|Dave Tommasini|Jeff Ironi|Melissa Thomson|Darren Frost|Al Vrkljan|Titus Welliver|DTeflon,109,6.3
Atonement,2007,34,R,Drama|Mystery|Romance|War,Joe Wright,Saoirse Ronan|Ailidh Mackay|Brenda Blethyn|Julia West|James McAvoy|Harriet Walter|Keira Knightley|Juno Temple|Felix von Simson|Charlie von Simson|Alfie Allen|Patrick Kennedy|Benedict Cumberbatch|Peter Wight|Leander Deeny|Peter O'Connor|Daniel Mays|Nonso Anozie|Michel Vuillermoz|Lionel Abelanski|Tobias Menzies|Paul Stocker|Alex Noodle|Roger Evans|Bronson Webb|Ian Bonar|Oliver Gilbert|Jamie Beamish|Johnny Harris|Nick Bagnall|Billy Seymour|Neil Maskell|Paul Harper|Gina McKee|Charlie Banks|Madeline Crowe|Scarlett Dalton|Olivia Grant|Katy Lawrence|Jade Moulla|Georgia Oakley|Alice Orr-Ewing|Catherine Philps|Bryony Reiss|Sarah Shaul|Anna Singleton|Emily Thomson|Michelle Duncan|Romola Garai|Kelly Scott|Mark Holgate|Ryan Kiggell|Vivienne Gibbs|Matthew Forest|Richard Stacey|Jay Quinn|Jérémie Renier|John Normington|Jack Harcourt|Ben Harcourt|Tilly Vosburgh|Angel Witney|Bonnie Witney|Ben Webb|Wendy Nottingham|Vanessa Redgrave|Anthony Minghella|Tom Barker|James Fiddy|Elliott Francis|Craig Leonard|Tom Rooke,123,7.8
Austin Powers in Goldmember,2002,6,PG-13,Action|Comedy|Crime,Jay Roach,Mike Myers|Beyoncé Knowles|Seth Green|Michael York|Robert Wagner|Mindy Sterling|Verne Troyer|Michael Caine|Fred Savage|Diane Mizota|Carrie Ann Inaba|Nobu Matsuhisa|Aaron Himelstein|Josh Zuckerman|Eddie Adams|Evan Farmer|Neil Mullarkey|Eric Winzenried|Tommy 'Tiny' Lister|Nichole Hiltz|Jim Piddock|Esther Scott|Leyna Nguyen|Jeannette Charles|Brian Tee|Masi Oka|Kevin Cooney|Clint Howard|Michael McDonald|Donna D'Errico|Fred Stoller|Brad Grunberg|Greg Grunberg|Ren Urano|Big Nate Kanae|Kinga Philipps|Scott Aukerman|John Donovan|Masa Kanome|Hideo Kimura|Hiroshi Otaguro|Kevin Alexander Stea|Linda Kim|Anna Marie Goddard|Nina Kaczorowski|Tammy Vanderpool|Nikki Ziering|Sybil Azur|Nicole Humphries|Susanna Hoffs|Stuart D. Johnson|Matthew Sweet|Patrice Fisher|Timothy Anderson|Faune A. Chambers|Kelly Cooper|R.J. Durell|Shaun Earl|Michelle Elkin|Jennifer Hamilton|Hunter Hamilton|Michael Higgins|Mark Meismer|Mandy Moore|Ayesha Orange|Nathan Prevost|Liz Ramos|Shealan Spencer|Becca Sweitzer|Salvatore Vassallo|Robert Vinson|Amie Barsky|Lina Chmiel|Sharon Ferguson|Trey Knight|Angela Meryl|Brian Richardson|Kimberlee Suerth|Lakisha Swift|Tom Cruise|Gwyneth Paltrow|Kevin Spacey|Danny DeVito|Steven Spielberg|Quincy Jones|Britney Spears|Nathan Lane|Katie Couric|Ozzy Osbourne|Sharon Osbourne|Kelly Osbourne|Jack Osbourne|John Travolta|Burt Bacharach|Rob Lowe|Christopher Ward|Michael Chaturantabut|Gabriel Corbin|Ben Hisoler|Will Holman|Eiji Inoue|Rachel Iverson|Kristen Johnston|Martin Klebba|Carolina Lancaster|Kinsey McLean|Marylee Picciano|Gene Anthony Ray|Tara Rice|Nicole Sciacca|Matt Sergott|Sonny Sison|Michael Sun Lee|Chris Sung|Peter Navy Tuiasosopo|Andreanna Veith|Dan Warner|Shane Zeranski,94,6.2
Bad Boys,1995,30,R,Action|Comedy|Crime|Drama|Thriller,Michael Bay,Lisa Boyle|Will Smith|Martin Lawrence|Michael Taliferro|Emmanuel Xuereb|Tchéky Karyo|Marc Macaulay|Ralph Gonzalez|Vic Manni|Frank John Hughes|Mike Kirton|Will Knickerbocker|Theresa Randle|Tiffany Samuels|Cory Hodges|Scott Cumberbatch|Anna Levine|Joey Romano|Sam Ayers|Joe Pantoliano|Marg Helgenberger|Nestor Serrano|Julio Oscar Mechoso|Michael Imperioli|Karen Alexander|Fawn Reed|Heather Davis|Téa Leoni|Saverio Guerra|Maureen Gallagher|Juan F. Cejas|Ed Amatrudo|Jimmy Franzo|Tony Bolano|Shaun Toub|Marty McSorley|Norman Max Maxwell|Kevin Corrigan|Buddy Bolton|Stan Miller|Dug Jones|John Salley|Dana Mark|Mario Ernesto Sánchez|Kim Coates|Cherie Wimberly,118,6.8
Bad Boys II,2003,63,R,Action|Comedy|Crime|Thriller,Michael Bay,Martin Lawrence|Will Smith|Jordi Mollà|Gabrielle Union|Peter Stormare|Theresa Randle|Joe Pantoliano|Michael Shannon|Jon Seda|Yul Vazquez|Jason Manuel Olazabal|Otto Sanchez|Henry Rollins|Antoni Corone|Gary Nickens|Rey Hernandez|Charlie Johnson Jr.|Paul Villaverde|John Salley|Reynaldo Gallegos|Veryl Jones|Tim Powell|Phil Owens|Timothy Adams|Keith Hudson|Rich Kelley|Dave Corey|Bill Erfurth|Jennifer Díaz|R.E. Rodgers|Chris Charles Herbert|Nelson J. Perez|Bobby Talbert|Nancy Duerr|Ivelin Giro|Damaris Justamante|Bill Cordell|Alex Warren|Dennis Greene|Bianca Bethune|Scott Cumberbatch|Mason Rock Bay|Gloria Irizarry|Alissa Mullins-Diaz|Mike Francis|Pedro Telémaco|Christopher Campbell|Jay A. Boutwell|Anthony Correa|Gino Salvano|Ralph Navarro|Fernando Gaviria|Renee Reilly|Cash Casia|James Zelley|Bubba Baker|Steve Gibb|Emerson Forth|Scott Charles|Oleg Taktarov|J. Michael Tiedeberg|Treva Etienne|Kiko Ellsworth|Dieudonne S. Abel|Gregory Bastien|Shannon Briggs|Greg Wayne Elam|Irwin Gould|Carlos Guity|Merdock Malcolm Mercer|Reggie Pierre|Bruno Ramos|Reggie Mann Stanley|Todd Rogers Terry|Raymond Tong|Tiara Harris|Edward Finlay|Sharon Wilkins|Anthony Giaimo|Jamaica Carter|Bryan Bottinelli|J.D. Walsh|Michael McDunough|Sean Lampkin|Michael Bay|Terrence J. Crowley|Dan Marino|Peter Donald Badalamenti II|Jessica Karr|Vaja Alani|Omar Avila|Jon Beshara|Jack Bonneman|Mika Brooks|Chris Cheatham|Smith Cho|Bobby Dodge|Dexter Fletcher|Deborah Smith Ford|Megan Fox|Tony Gomez|Evelyn Gutierrez|Hal Kreitman|Paul Lawrence|Rick Michaels|Nevin Millan|Dan Nunan|Yamil Piedra|Robert Ponce|Denise Quiñones|Jay Rasumny|Kevin Rego|Adam Reign|Olivia D. Robinson|Ralph Ruiz|Pasi Schalin|Taina|Damian Urra|Jasmine Waltz|Brian Anthony Wilson,147,6.5
Bangkok Dangerous,2008,38,R,Action|Crime|Thriller,Oxide Pang Chun|Danny Pang,Nicolas Cage|Shahkrit Yamnarm|Charlie Yeung|Panward Hemmanee|Nirattisai Kaljaruek|Dom Hetrakul|Tuck Napaskorn|Steve Baldocchi|Chris Heebink|James With|Peter Shadrin|Arthajid Puengvicha|Duangjai Srisawang|Veerasak Boonchard|Joe Sakol Palvanichkul|Savaros Sriratum|Thanrada Kao-Im|Aratchporn Satead|Winai Thawattana|Pornpat Tipthongkum|Gonthron Bossarakam|Thanapon Parnjaroen|Jeremy Thana|Allwarin Apirakyothin|Andrew Pfeffer|Oliver Steel|Kitchanpon Apirakyothin|Chalita Chaisaeng|Chatchaya Watcharakitikorn|Arnunthaya Suksalak|Thanitar Jirapanid|Nareerat Jeanmahan|Suwatjanee Suriyapas|Pariwut Prachayanan|Tuengtanpon Thongnawakun|Keang Kunsri|Chris Lowenstein|Oliver Ackermann|Russell Wald|Laura Herold|David L. Michaels|Ron Anderson|Chollamark Chiengthong|Armondthap Limdusit|Jirakit Suwannapap|Chatchai Phuengparyun|Arkrapong Pimpajak|Songsak Sampanpim|Duangrutai Suwannarat|Songpohl Dittasom|Bruce Blain|David Firestar,99,5.4
The Bank Job,2008,4,,Crime|Drama|Thriller,Roger Donaldson,Jason Statham|Saffron Burrows|Stephen Campbell Moore|Daniel Mays|James Faulkner|Alki David|Michael Jibson|Georgia Taylor|Richard Lintern|Peter Bowles|Alistair Petrie|Hattie Morahan|Julian Lewis Jones|Andrew Brooke|Rupert Frazer|Christopher Owen|Keeley Hawes|Taelor Samways|Kasey Baterip|Don Gallagher|Craig Fairbrass|Gerard Horan|Robert Whitelock|David Suchet|Peter De Jersey|Johann Myers|Colin Salmon|Sharon Maughan|Ray Nicholas|Les Kenny-Green|Jamie Kenna|Angus Wright|Mark Phoenix|James Hall|Cameron Anderson|Julian Firth|Norma Dixit|Antony Gabriel|Rupert Vansittart|Bronson Webb|Omar Mostafa|Dylan Charles|Michael Haughey|Ray Trickitt|Steve Gibbs|Ursula Mohan|Alan Swoffer|Louise Chambers|Bonnie Simon|Dimitri Pappadopoullos|Dai Smith|Alan Thomas|Brian Thomas|Rob Thompson|Andy Collins|Steve Balsamo|Debbie Attwell|Shane James Bordas|Trevor Coppola|John De Luca|James Fiddy|Kas Graham|Mick Jagger|John Warman|Chris Wilson,111,7.3
Banlieue 13,2004,34,R,Action|Sci-Fi|Thriller,Pierre Morel,Cyril Raffaelli|David Belle|Tony D'Amario|Bibi Naceri|Dany Verissimo-Petit|François Chattot|Nicolas Woirion|Patrick Olivier|Samir Guesmi|Jérôme Gadner|Tarik Boucekhine|Grégory Jean|Warren Zavatta|Dominique Dorol|Ludovic Berthillot|Azad|Turan Bagci|Gilles Gambino|Chamsi Charlesia|Nicolas Wan Park|Alain Rimoux|Marc Andréoni|Roberto Gil|Patrick Médioni|Bernard Grenet|Lyès Salem|Christophe Maratier|Philippe Soutan|Michel Estrade|Jean-Marc Bellu|MC Jean Gab'1|Louis-Philippe Manuel|Olivier Lobe|Jeff Rudom|Jérôme Paquatte|Stephane Vigroux|Arnaud Klein,84,7.2
Barton Fink,1991,3,R,Drama|Mystery,Joel Coen|Ethan Coen,John Turturro|John Goodman|Judy Davis|Michael Lerner|John Mahoney|Tony Shalhoub|Jon Polito|Steve Buscemi|David Warrilow|Richard Portnow|Christopher Murney|I.M. Hobson|Meagen Fay|Lance Davis|Harry Bugin|Anthony Gordon|Jack Denbo|Max Grodénchik|Robert Beecher|Darwyn Swalve|Gayle Vance|Johnny Judkins|Jana Marie Hupp|Isabelle Townsend|William Preston Robertson|Joe James|Frances McDormand|Barry Sonnenfeld|Vincent Tumeo,116,7.8
Batman,1989,56,,Action|Thriller,Tim Burton,Michael Keaton|Jack Nicholson|Kim Basinger|Robert Wuhl|Pat Hingle|Billy Dee Williams|Michael Gough|Jack Palance|Jerry Hall|Tracey Walter|Lee Wallace|William Hootkins|Richard Strange|Carl Chase|Mac McDonald|George Lane Cooper|Terence Plummer|Philip Tan|John Sterland|Edwin Craig|Vincent Wong|Joel Cutrara|John Dair|Christopher Fairbank|George Roth|Kate Harper|Bruce McGuire|Richard Durden|Kit Hollerbach|Lachele Carl|Del Baker|Jazzer Jeyes|Wayne Michaels|Valentino Musetti|Rocky Taylor|Keith Edwards|Leon Herbert|Steve Plytas|Anthony Wellington|Amir M. Korangy|Hugo Blick|Charles Roskilly|Philip O'Brien|Michael Balfour|Liza Ross|Garrick Hagon|Adrian Meyers|David Baxt|Sharon Holm|Clyde Gatell|Jon Soresi|Sam Douglas|Elliott Stein|Denis Lill|Paul Birchard|Paul Michael|Priscilla Cory|Clive Curtis|Pat Gorman|Pam Rose|Rachel Ryan|Christian Wolf-La'Moy,126,7.6
Batman Begins,2005,18,PG-13,Action|Adventure|Crime|Drama,Christopher Nolan,Christian Bale|Michael Caine|Liam Neeson|Katie Holmes|Gary Oldman|Cillian Murphy|Tom Wilkinson|Rutger Hauer|Ken Watanabe|Mark Boone Junior|Linus Roache|Morgan Freeman|Larry Holden|Gerard Murphy|Colin McFarlane|Sara Stewart|Gus Lewis|Richard Brake|Rade Serbedzija|Emma Lockhart|Christine Adams|Catherine Porter|John Nolan|Karen David|Jonathan D. Ellis|Tamer Hassan|Ronan Leahy|Vincent Wong|Tom Wu|Mark Chiu|Turbo Kong|Sai-Kit Yung|Chike Chan|Tenzin Clive Ball|Tenzin Gyurme|Jamie Hayden|David Murray|John Kazek|Darragh Kelly|Patrick Nolan|Joseph Rye|Kwaku Ankomah|Jo Martin|Charles Edwards|Lucy Russell|Timothy Deenihan|David Bedella|Flavia Masetto|Emily Steven-Daly|Martin McDougall|Noah Lee Margetts|Joe Hanley|Karl Shiels|Roger Griffiths|Stephen Walters|Richard Laing|Matt Miller|Risteard Cooper|Shane Rimmer|Jeremy Theobald|Alexandra Bastedo|Soo Hee Ding|Conn Horgan|Phill Curr|Jack Gleeson|John Judd|Sarah Wateridge|Charlie Kranz|Terry McMahon|Cedric Young|Tim Booth|Tom Nolan|Leon Delroy Williams|Roger Yuan|Joe Sargent|Mel Taylor|Ilyssa Fradin|Andrew Pleavin|Jeff Christian|John Burke|Earlene Bentley|Alex Moggridge|Jay Buozzi|Jordan Shaw|Omar Mustafa|Patrick Pond|Poppy Tierney|Rory Campbell|Fabio Cardascia|Spencer Wilding|Mark Rhino Smith|Khan Bonfils|Dave Legeno|Ruben Halse|Rodney Ryan|Dominic Burgess|Nadia Cameron-Blakey|Mark Straker|T.J. Ramini|Kieran Hurley|Emmanuel Idowu|Jeff Tanner|Dean Alexandrou|Joey Ansah|Anoushka Arden|Alex Argenti|Lasco Atkins|Morne Botes|Kimber Closson|Thomas D. Craven|Ray Donn|James Embree|Jon Foo|Tommy Gunn|Philip Harvey|Adam Hawkes|Scott Hinds|Gil Kolirin|Jeff Lipman|Emil Martirossian|Jane Osborn|Ernest Pierce|Dan Poole|Abdul Popoola|Marc Radz|Mike Savva|Michael Stailey|Mark Strange|Chuen Tsou,140,8.3
Batman Returns,1992,18,PG-13,Action|Fantasy,Tim Burton,Michael Keaton|Danny DeVito|Michelle Pfeiffer|Christopher Walken|Michael Gough|Michael Murphy|Cristi Conaway|Andrew Bryniarski|Pat Hingle|Vincent Schiavelli|Steve Witting|Jan Hooks|John Strong|Rick Zumwalt|Anna Katarina|Gregory Scott Cummins|Erika Andersch|Travis McKenna|Doug Jones|Branscombe Richmond|Paul Reubens|Diane Salinger|Stuart Lancaster|Cal Hoffman|Joan Jurige|Rosie O'Connor|Sean Whalen|Erik Onate|Joey DePinto|Steven Brill|Neal Lerner|Ashley Tillman|Elizabeth Sanders|Henry Kingi|Joan Giammarco|Lisa Guerrero|Frank DiElsi|Biff Yeager|Robert Gossett|Adam Drescher|Bobby Bell|Niki Botelho|Susan Rossitto|Margarita Fernández|Denise Killpack|Felix Silla|Debbie Lee Carrington|Anthony De Longis|Tyler House|Jeff Langton|Cheryl Moore|Jeff Mulvin|Ty Randolph|Steffanie Siebrand|Desi Singh|Michael Sutherland|Mark Taormino,126,7.0
Ying hung boon sik,1986,65,,Action|Crime|Drama|Thriller,John Woo,Lung Ti|Yun-Fat Chow|Leslie Cheung|Emily Chu|Waise Lee|Feng Tien|John Woo|Yanzi Shi|Kenneth Tsang|Fui-On Shing|Hsieh Wang|Chi Fai Chan|Ming Leung|Hing-Yin Kam|Pierre Tremblay|Hark Tsui|Shung Fung Lau|Wei Ho Tu|Yung-sheng Pan|Seng-Kwong Chang|Foo-wai Lam|Stephen Chow|Hsin Nan Hung|Hsi-chun Yang|Wai Tong Wong|Te-wei Chu|Ming-Wai Chan|Wing-Hong Cheung|Wai Cheung Mak|Han-yuan Ma|Gregory Snegoff|Patrick Leung|Kwok Leung Cheung,95,7.6
Ying hung boon sik II,1987,199,,Action|Crime|Drama|Thriller,John Woo,Lung Ti|Yun-Fat Chow|Leslie Cheung|Dean Shek|Shan Kwan|Emily Chu|Kenneth Tsang|Man Tat Ng|Ming Yan Lung|Peter Wang|Fui-On Shing|Chung Lin|Regina Kent|Siu-Ming Lau|Ken Boyle|Louis Roth|Ming Leung|Mike Abbott|Chindy Lau|Mark King|Shung Fung Lau|Steve Mak|Foo-wai Lam|Wei Ho Tu|Seng-Kwong Chang|Shu-Kei Law|K.K. Wong|Fook-On Shing|Dean Harrington|Wayne Archer|Waise Lee|Charles Dumas|Paul Francis|Sammy Lee|Marco Wo|Sing Chau Wai,105,7.4
The Big Hit,1998,38,R,Action|Comedy|Crime|Thriller,Kirk Wong,Mark Wahlberg|Lou Diamond Phillips|Christina Applegate|Avery Brooks|Bokeem Woodbine|Antonio Sabato Jr.|China Chow|Lainie Kazan|Elliott Gould|Sab Shimono|Robin Dunne|Lela Rochon|Danny Smith|Joshua Peace|David Usher|Hardee T. Lineham|Gerry Mendicino|Robert Eaton|John Stoneham Sr.|Nicola Jones|Alexa Gilmour|John Stocker|Cotton Mather|Derrek Peels|Tig Fong|Danny Lima|Morgan Freeman|Giovahann White|Robert Hannah|Terrence Baker|Matt Birman|Jordan-Patrick Marcantonio|Layton Morrison,91,6.1
Big Trouble in Little China,1986,46,,Action|Adventure|Comedy|Fantasy,John Carpenter,Kurt Russell|Kim Cattrall|Dennis Dun|James Hong|Victor Wong|Kate Burton|Donald Li|Carter Wong|Peter Kwong|James Pax|Suzee Pai|Chao Li Chi|Jeff Imada|Rummel Mor|Craig Ng|June Kyoto Lu|Noel Toy|Jade Go|Jerry Hardin|James Lew|Jim Lau|Kenny Endoso|Stuart Quan|Gary Toy|George Cheung|Jimmy Jue|Noble Craig|Danny Kwan|Min Luong|Paul J.Q. Lee|Al Leong|Gerald Okamura|William S. Wong|Eric Lee|Yukio G. Collins|Bill M. Ryusaki|Brian Imada|Nathan Jung|Dan Inosanto|Vernon Rieta|Daniel Wong|Daniel Lee|Lia Chang|Diana Tanaka|Donna L. Noguschi|Shinko Isobe|William B. Snider|John Carpenter|Dawna Lee Heising|Leo Lee,99,7.3
The Black Dahlia,2006,13,R,Crime|Drama|Mystery|Thriller,Brian De Palma,Josh Hartnett|Scarlett Johansson|Aaron Eckhart|Hilary Swank|Mia Kirshner|Mike Starr|Fiona Shaw|Patrick Fischler|James Otis|John Kavanagh|Troy Evans|Anthony Russell|Pepe Serna|Angus MacInnes|Rachel Miner|Victor McGuire|Gregg Henry|Jemima Rooper|Rose McGowan|Luis Daniel Ponce|Graham Norris|Mike O'Connell|Michael P. Flannigan|John Solari|Stephanie L. Moore|Noel Arthur|Todd Thomas|Steve Eastin|Ian McNeice|Claudia Katz|Mia Frye|Richard Brake|William Finley|Joost Scholte|Fatso-Fasano|Teo|Kiril Efremov|Petar Milchev|Désirée Cyganek|Brian De Palma|Kevin Dunn|k.d. lang|David Raibon,121,5.6
Blade,1998,111,R,Action|Fantasy|Horror,Stephen Norrington,Wesley Snipes|Stephen Dorff|Kris Kristofferson|N'Bushe Wright|Donal Logue|Udo Kier|Arly Jover|Traci Lords|Kevin Patrick Walls|Tim Guinee|Sanaa Lathan|Eric Edwards|Donna Wong|Carmen Thomas|Shannon Lee|Kenny Johnson|Clint Curtis|Judson Scott|Sidney S. Liufau|Keith Leon Williams|Andray Johnson|Stephen R. Peluso|Marcus Aurelius|John Enos III|Eboni 'Chrystal' Adams|Lyle Conway|Freeman White|D.V. DeVincentis|Marcus Salgado|Esau McKnight Jr.|Erl Van Douglas|Matt Schulze|Lennox Brown|Yvette Ocampo|Irena Stepic|Jenya Lano|Levan Uchaneyshvili|Richard 'Dr.' Baily|Nikki DiSanto|Ryan Glorioso|Jeff Imada|Elliott James|Ted King|Stephen Norrington|Gerald Okamura|Frankie Ray|Carrie Seeley|Beth Theriac,120,7.1
Blade II,2002,98,R,Action|Horror|Sci-Fi|Thriller,Guillermo del Toro,Wesley Snipes|Kris Kristofferson|Ron Perlman|Leonor Varela|Norman Reedus|Thomas Kretschmann|Luke Goss|Matt Schulze|Danny John-Jules|Donnie Yen|Karel Roden|Marit Velle Kile|Tony Curran|Daz Crawford|Santiago Segura|Samuel Le|Marek Vasut|Pete Lee-Wilson|Paul Kasey|Andrea Miltner|Ladislav Beran|Jirí Maria Sieber|Bridge Markland|Jamie Wilson|Stuart Luis|Ladislav Mohyla|Jan Malík|Jan Révai|Mário Wild|Tomás Böhm|Zdenek Bubák|Jan Loukota|Jan Bursa|Petr Krusalnicky|Jaroslav Misek|Karel Vávrovec|Jaroslav Peterka|Milos Kulhavy|Ivan Mares|Lennox Brown|André Hyde-Braithwaite|Pavel Cajzl|John Salvitti|Rey-Phillip Santos|Kenji Tanigaki|Michael Woods,117,6.6
